times_since_last_comment,sa_negative,sa_neutral,sa_positive,sa_compound,inclusiveness,constructiveness
0,-0.640450,0.0,0.508,0.492,0.4404,inclusive,constructive
1,-0.634083,0.0,0.000,0.000,0.0000,not,inclusive,constructive
2,-0.232749,0.0,0.000,0.000,0.0000,not,inclusive,constructive
3,-0.633771,0.0,0.000,0.000,0.0000,not,inclusive,constructive
4,-0.631212,0.0,0.000,0.000,0.0000,not,inclusive,constructive
5,-0.635269,0.0,0.000,0.000,0.0000,not,inclusive,constructive
6,-0.631836,0.0,0.000,0.000,0.0000,not,inclusive,constructive
7,-0.628965,0.0,0.000,0.000,0.0000,not,inclusive,not,constructive
8,-0.582028,0.0,0.000,0.000,0.0000,not,inclusive,not,constructive
9,-0.487843,0.0,0.000,0.000,0.0000,not,inclusive,not,constructive
10,0.011360,0.0,0.000,0.000,0.0000,not,inclusive,constructive
11,-0.630588,0.0,0.000,0.000,0.0000,not,inclusive,not,constructive
12,2.293410,0.0,0.000,0.000,0.0000,not,inclusive,constructive
13,-0.533032,0.0,0.000,0.000,0.0000,not,inclusive,constructive
14,0.043379,0.0,0.000,0.000,0.0000,not,inclusive,constructive
15,1.119804,0.0,0.000,0.000,0.0000,not,inclusive,constructive
16,2.572846,0.0,0.000,0.000,0.0000,not,inclusive,constructive
17,0.861027,0.0,0.000,1.000,0.4404,inclusive,constructive
